project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379479	P3_18	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379480	P3_34	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379481	P3_37	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379482	P3_41	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379483	P3_52	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379484	P3_84	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379485	P4_59	ICM0063_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379486	P3_57	ICM0064_SAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379487	P3_20	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379488	P3_44	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379489	P3_60	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379490	P3_83	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379491	P3_87	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379492	P3_88	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379493	P3_92	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379494	P4_33	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379495	P4_85	ICM0065_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379496	P3_24	ICM0066_SAG.1_Pinguiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379497	GC1003828_A09_1	ICM0067_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379498	GC1003828_A09_2	ICM0067_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379499	GC1003828_B10_1	ICM0067_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379500	GC1003828_B10_2	ICM0067_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379501	P3_27	ICM0067_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379502	P4_43	ICM0068_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379503	P4_55	ICM0068_COSAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379504	P3_35	ICM0069_SAG.1_Dictyochophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379505	P3_49	ICM0070_SAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379506	P3_53	ICM0071_SAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379507	P3_54	ICM0072_SAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379508	P3_62	ICM0073_SAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379509	P3_64	ICM0074_SAG.1_Diatomea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379510	P3_68	ICM0075_COSAG.1_MOCH-2	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379511	P4_54	ICM0075_COSAG.1_MOCH-2	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379512	P4_82	ICM0075_COSAG.1_MOCH-2	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379513	P3_70	ICM0076_COSAG.1_Chlorodendrophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379514	P3_72	ICM0076_COSAG.1_Chlorodendrophyceae	Sample used for final dataset	2020-09-15
